[178] CTETFParticleEffect
[357] ParticleSmokeGrenade
[90] CParticleFire
[355] MovieExplosion
[81] CMaterialModifyControl
[79] CLightGlow
[77] CInfoOverlayAccessor
[154] CTEGaussExplosion
[67] CFuncTrackTrain
[66] CFuncSmokeVolume
[65] CFuncRotating
[62] CFuncReflectiveGlass
[60] CFuncOccluder
[54] CFunc_LOD
[146] CTEDust
[53] CFunc_Dust
[56] CFuncConveyor
[25] CBreakableSurface
[55] CFuncAreaPortalWindow
[51] CFish
[38] CEntityFlame
[49] CFireSmoke
[46] CEnvTonemapController
[44] CEnvScreenEffect
[45] CEnvScreenOverlay
[42] CEnvProjectedTexture
[41] CEnvParticleScript
[52] CFogController
[39] CEntityParticleTrail
[37] CEntityDissolve
[43] CEnvQuadraticBeam
[36] CEmbers
[47] CEnvWind
[106] CPrecipitation
[32] CDynamicLight
[30] CColorCorrectionVolume
[29] CColorCorrection
[24] CBreakableProp
[17] CBaseTempEntity
[13] CBasePlayer
[8] CBaseFlex
[7] CBaseEntity
[6] CBaseDoor
[4] CBaseCombatCharacter
[2] CBaseAnimatingOverlay
[20] CBoneFollower
[1] CBaseAnimating
[76] CInfoLightingRelative
[0] CAI_BaseNPC
[350] CWeaponIFMSteadyCam
[349] CWeaponIFMBaseCamera
[348] CWeaponIFMBase
[340] CTFWearableRazorback
[337] CTFWearableDemoShield
[339] CTFWearableLevelableItem
[336] CTFWearableCampaignItem
[341] CTFWearableRobotArm
[286] CTFRobotArm
[343] CTFWrench
[278] CTFProjectile_ThrowableBreadMonster
[279] CTFProjectile_ThrowableBrick
[280] CTFProjectile_ThrowableRepel
[277] CTFProjectile_Throwable
[318] CTFThrowable
[314] CTFSyringeGun
[224] CTFKatana
[313] CTFSword
[117] CSniperDot
[307] CTFSniperRifleClassic
[308] CTFSniperRifleDecap
[306] CTFSniperRifle
[196] CTFChargedSMG
[305] CTFSMG
[304] CTFSlap
[303] CTFShovel
[302] CTFShotgunBuildingRescue
[240] CTFPEPBrawlerBlaster
[309] CTFSodaPopper
[300] CTFShotgun_Revenge
[296] CTFScatterGun
[299] CTFShotgun_Pyro
[298] CTFShotgun_HWG
[301] CTFShotgun_Soldier
[297] CTFShotgun
[295] CTFRocketPack
[200] CTFCrossbow
[294] CTFRocketLauncher_Mortar
[292] CTFRocketLauncher_AirStrike
[293] CTFRocketLauncher_DirectHit
[291] CTFRocketLauncher
[285] CTFRevolver
[201] CTFDRGPomson
[283] CTFRaygun
[245] CTFPistol_ScoutSecondary
[244] CTFPistol_ScoutPrimary
[243] CTFPistol_Scout
[242] CTFPistol
[241] CTFPipebombLauncher
[331] CTFWeaponPDA_Spy
[330] CTFWeaponPDA_Engineer_Destroy
[329] CTFWeaponPDA_Engineer_Build
[333] CTFWeaponPDAExpansion_Teleporter
[332] CTFWeaponPDAExpansion_Dispenser
[328] CTFWeaponPDA
[94] CPasstimeGun
[238] CTFParticleCannon
[237] CTFParachute_Secondary
[236] CTFParachute_Primary
[235] CTFParachute
[233] CTFMinigun
[230] CTFMedigunShield
[351] CWeaponMedigun
[262] CTFProjectile_MechanicalArmOrb
[229] CTFMechanicalArm
[228] CTFLunchBox_Drink
[227] CTFLunchBox
[78] CLaserDot
[226] CTFLaserPointer
[225] CTFKnife
[211] CTFGasManager
[260] CTFProjectile_JarGas
[222] CTFJarGas
[253] CTFProjectile_Cleaver
[261] CTFProjectile_JarMilk
[259] CTFProjectile_Jar
[197] CTFCleaver
[223] CTFJarMilk
[221] CTFJar
[327] CTFWeaponInvis
[216] CTFGrenadePipebombProjectile
[195] CTFCannon
[215] CTFGrenadeLauncher
[214] CTFGrapplingHook
[209] CTFFlareGun_Revenge
[208] CTFFlareGun
[206] CTFFlameRocket
[207] CTFFlameThrower
[204] CTFFists
[203] CTFFireAxe
[326] CTFWeaponFlameBall
[199] CTFCompoundBow
[198] CTFClub
[194] CTFBuffItem
[311] CTFStickBomb
[193] CTFBreakableSign
[191] CTFBottle
[192] CTFBreakableMelee
[189] CTFBonesaw
[181] CTFBall_Ornament
[312] CTFStunBall
[187] CTFBat_Giftwrap
[188] CTFBat_Wood
[186] CTFBat_Fish
[185] CTFBat
[184] CTFBaseRocket
[324] CTFWeaponBaseMerasmusGrenade
[323] CTFWeaponBaseMelee
[322] CTFWeaponBaseGun
[321] CTFWeaponBaseGrenadeProj
[320] CTFWeaponBase
[319] CTFViewModel
[111] CRobotDispenser
[287] CTFRobotDestruction_Robot
[284] CTFReviveMarker
[281] CTFPumpkinBomb
[255] CTFProjectile_EnergyRing
[252] CTFProjectile_BallOfFire
[183] CTFBaseProjectile
[249] CTFPointManager
[11] CBaseObjectUpgrade
[80] CMannVsMachineStats
[290] CTFRobotDestructionLogic
[288] CTFRobotDestruction_RobotGroup
[289] CTFRobotDestruction_RobotSpawn
[247] CTFPlayerDestructionLogic
[101] CPlayerDestructionDispenser
[232] CTFMinigameLogic
[218] CTFHalloweenMinigame_FallingPlatforms
[217] CTFHalloweenMinigame
[231] CTFMiniGame
[342] CTFWearableVM
[335] CTFWearable
[250] CTFPowerupBottle
[220] CTFItem
[71] CHalloweenSoulPack
[212] CTFGenericBomb
[23] CBonusRoundLogic
[210] CTFGameRulesProxy
[205] CTFFlameManager
[202] CTFDroppedWeapon
[267] CTFProjectile_SpellKartBats
[268] CTFProjectile_SpellKartOrb
[219] CTFHellZap
[269] CTFProjectile_SpellLightningOrb
[276] CTFProjectile_SpellTransposeTeleport
[270] CTFProjectile_SpellMeteorShower
[273] CTFProjectile_SpellSpawnBoss
[271] CTFProjectile_SpellMirv
[272] CTFProjectile_SpellPumpkin
[274] CTFProjectile_SpellSpawnHorde
[275] CTFProjectile_SpellSpawnZombie
[265] CTFProjectile_SpellBats
[266] CTFProjectile_SpellFireball
[310] CTFSpellBook
[74] CHightower_TeleportVortex
[159] CTeleportVortex
[69] CHalloweenGiftPickup
[21] CBonusDuckPickup
[70] CHalloweenPickup
[27] CCaptureFlagReturnIcon
[26] CCaptureFlag
[22] CBonusPack
[72] CHandleTest
[126] CTeamRoundTimer
[125] CTeamplayRoundBasedRulesProxy
[121] CSpriteTrail
[120] CSpriteOriented
[119] CSprite
[105] CPoseController
[68] CGameRulesProxy
[75] CInfoLadderDismount
[58] CFuncLadder
[40] CEnvDetailController
[338] CTFWearableItem
[35] CEconWearable
[3] CBaseAttributableItem
[34] CEconEntity
[19] CBeam
[18] CBaseViewModel
[14] CBaseProjectile
[12] CBaseParticleEntity
[9] CBaseGrenade
[5] CBaseCombatWeapon
[345] CVoteController
